Date,INR/USD,INR/EUR,INR/GBP,INR/JPY,INR/AED
2000-01-03,43.55,44.226668020716964,70.85909534656686,0.42822025565388394,11.858407079646017
2000-01-04,43.55,44.896907216494846,71.28826321820264,0.4224464060529634,11.858407079646017
2000-01-05,43.55,45.00826787928896,71.48719632304662,0.41967813433554974,11.858407079646017
2000-01-06,43.55,44.96180053685732,71.74629324546952,0.41401273885350315,11.858407079646017
2000-01-07,43.55,44.832200947086676,71.34665792922672,0.41409147095179233,11.858407079646017
2000-01-10,43.55,44.64834939511994,71.31160962829539,0.41365881458966564,11.858407079646017
2000-01-11,43.6,45.00412881915772,71.85234014502308,0.4109718163823169,11.87202178352621
2000-01-12,43.6,44.82368664541997,71.7931829408859,0.4122541603630862,11.87202178352621
2000-01-13,43.55,44.726301735647525,71.78177023240481,0.41050051842775,11.858407079646017
2000-01-14,43.55,44.105732226048204,71.21831561733441,0.4113924050632911,11.858407079646017
2000-01-17,43.55,44.105732226048204,71.21831561733441,0.4113924050632911,11.858407079646017
2000-01-18,43.6,44.12955465587045,71.41687141687142,0.4133093184188075,11.87202178352621
2000-01-19,43.6,44.10277159619664,71.67516028275523,0.4137014897049056,11.87202178352621
2000-01-20,43.6,44.17874151383119,72.10186869522077,0.413466097676624,11.87202178352621
2000-01-21,43.6,44.035955964044035,71.95906915332563,0.4153963414634147,11.87202178352621
2000-01-24,43.62,43.70303576795912,72.06343961671898,0.4133813495072024,11.877467665078285
2000-01-25,43.59,43.76945476453459,71.84770067578705,0.41173136865967697,11.86929884275017
2000-01-26,43.65,43.69806787466213,71.56910969011314,0.41237600377893247,11.8856364874064
2000-01-27,43.63,43.15102363762239,71.39584356079202,0.41588027833380997,11.880190605854324
2000-01-28,43.65,42.62279074309149,70.75701086075539,0.40737284181054595,11.8856364874064
2000-01-31,43.65,42.58952092887111,70.63106796116504,0.4066896487468555,11.8856364874064
2000-02-01,43.62,42.44842351109381,70.44573643410853,0.40512677626079685,11.877467665078285
2000-02-02,43.65,42.6352803281891,70.0979604946202,0.4026752767527675,11.8856364874064
2000-02-03,43.65,43.1579988135258,69.95192307692308,0.404466271312083,11.8856364874064
2000-02-04,43.65,42.6019910208862,69.47318160114595,0.4058954807513483,11.8856364874064
2000-02-07,43.64,42.69223243983565,69.45726563743435,0.4012873563218391,11.88291354663036
2000-02-08,43.63,43.027613412228796,70.26896440650668,0.39812026644766857,11.880190605854324
2000-02-09,43.65,43.27352037275701,70.34649476228847,0.40005499037668407,11.8856364874064
2000-02-10,43.58,42.991022985104074,69.97430956968529,0.40077248482619093,11.866575901974132
2000-02-11,43.65,42.98375184638109,69.50636942675159,0.4004954582989265,11.8856364874064
2000-02-14,43.65,42.70201526120133,69.36278404576514,0.40174873446847675,11.8856364874064
2000-02-15,43.64,42.9147408791425,69.6012759170654,0.4012873563218391,11.88291354663036
2000-02-16,43.75,43.05678574943411,70.17965992941932,0.39998171512159447,11.91286589516678
2000-02-17,43.68,43.081171713186706,70.10110736639383,0.3961186179377891,11.893805309734514
2000-02-18,43.68,43.026004728132385,69.82097186700767,0.393939393939394,11.893805309734514
2000-02-21,43.68,43.026004728132385,69.82097186700767,0.393939393939394,11.893805309734514
2000-02-22,43.65,43.91348088531187,70.56256062075654,0.39310158501440917,11.8856364874064
2000-02-23,43.68,43.75438245016528,70.08985879332478,0.3931239312393124,11.893805309734514
2000-02-24,43.65,43.35087893534612,69.7618667092856,0.39342045966651645,11.8856364874064
2000-02-25,43.65,42.614468417455825,69.44002545338847,0.39331411065056765,11.8856364874064
2000-02-28,43.68,42.23554438213112,69.60956175298806,0.40010992030777687,11.893805309734514
2000-02-29,43.65,42.09257473481196,68.88117405712481,0.3972515471423371,11.8856364874064
2000-03-01,43.63,42.32224270055292,69.14421553090334,0.40737628384687213,11.880190605854324
2000-03-02,43.65,41.9873028087726,68.81601765725998,0.4065381391450125,11.8856364874064
2000-03-03,43.65,41.983264403193225,69.01185770750989,0.4049165120593692,11.8856364874064
2000-03-06,43.63,41.89954864112168,68.64380113278791,0.4049563764618527,11.880190605854324
2000-03-07,43.63,41.7112810707457,68.81703470031546,0.4108286252354049,11.880190605854324
2000-03-08,43.65,41.798333812122955,69.20881560171237,0.4083637384226775,11.8856364874064
2000-03-09,43.63,42.25256633740074,69.00205598608257,0.4098637858149366,11.880190605854324
2000-03-10,43.65,42.16169226311214,68.93556538218573,0.41074621247765125,11.8856364874064
